pt	pensei que tinha perdido boina e caderno, mas na vdd, a gabriella que pegou, nojenta"
und	@ZEECorporate     A3) 5 continents #ZEE"
und	@eduarda_sam ui apxnd"
ka	თელავი ჩოგბურთის საერთაშორისო ტურნირს მასპინძლობს: თელავში ქალთა და მამაკაცთა სერთაშორისო ტურნირი ჩოგბურთში “T... http://t.co/vzu6LgoLeH"
km	អានេះទើបហៅថា មី ពិតប្រាកដព្រោះដុតមិនឆេះទេ ខុសពី មីយួន ដុតទៅឆេះរលួយដូច ជ័រកៅស៊ូ http://t.co/0HHJkFT1tD"
sv	@lisaginell Jaa verkligen,världens bästa typ som små hundar :')"
nl	Inpakken voor Rastede! :) Nu hoop ik eiglk dat alles in 1 weekendtas past..."
da	@koefoed Der fik han lige 500 XP."
fa	این بچه ها چه قدر تو وایبر گروه تشکیل میدن..یعنی همه جکان رو نمیتونن تو همون گروه کپی کنن؟:/"
it	C'è un umidità assurda💧💧💧"
pa	ਇਹ ਮੁਹੱਬਤ ਕਰਨ ਵਾਲੇ ਲੋਕ ਨਿਰੇ ਮੂਰਖ ਹੁੰਦੇ ਹਨ ਖ਼੍ਜ਼ਾਨੇ ਦੀ ਕੁੰਜੀ ਆਪੇ\nਹੀ ਕਿਸੇ ਬਿਹਾਨੇ ਨੂੰ ਸੌਂਪ ਦਿੰਦੇ ਹਨ,ਤੇ ਫ਼ੇਰ ਆਪ੍ਣੇ... http://t.co/PcfxbpfzxA"
und	heol"
und	Derbyshire 62/2 (21.4 ov) #cricket #fifa14 #FIFAWorldCup 267"
de	Ich habe 71,530 Goldmünzen gesammelt! http://t.co/PwPNZDFUVy #android, #androidgames, #gameinsight"
not_fi	@stevenlongo_33 oh myy 🙊"
en	Laura Sullivan  Photographer: Daniel Hoyt  MUA: Morgan Panter  Latex Designer: Pandora Deluxe http://t.co/ZNDX6zWhTh"
ckb	KIA Sportage 2012\nبۆ زانیاری زیاتر کلیک لەسەر ئەم لینکەی خوارەوە بکە\nhttp://t.co/LOYogDyKB6"
ur	@Usman_Saeed4 دنیا کے بدترین جانور سے بہی بدتر ہے وە"
bn	- বৈদ্যঘোনায় ৪ জনকে পিটিয়েছে সন্ত্রাসীরা --- http://t.co/BJiMTxm1QJ http://t.co/3RXI56fwnH"
und	treze #MTVHottest Demi Lovato"
sd	پاڪستان جي موجوده سياسي صورتحال،  ”سڌي ڳاله”\nby @javeednusrat\n#SindhExpress News Story http://t.co/nqjIk0P1DB"
ml	ഉമ്മന്‍ ചാണ്ടിയുടെ മേധാവിത്വത്തിനെതിരെ സുധീരന്‍-രമേശ് അച്ചുതണ്ട് രൂപപ്പെടുന്നു - Malayalam News... http://t.co/jFnH8DQ8rP"
mr	आज फार मोठा ऐतिहासिक दिवस अहे. आजच्याच दिवशी ती पवन खिंडीतील चित्तथरारक लढाई घडली .\n६००० विरुद्ध ३०० जण लढलेच कसे... http://t.co/wy7sXSjSgA"
not_bg	@IDiedLastSummer оформа кул"
zh-TW	@missA_jia 社會關懷，社會態度和思維習慣繼續。"
lo	ຕັກບາດຕອນເຊົ້າກັບຄົນງາມໃຈບຸນ\nມີຮູບສາວງາມ, ແນະນຳສາວໜ້າຮັກສົ່ງມາເລີຍ\n---------------------------------------------... http://t.co/MS3Zridmv1"
ru	Опубликовано фото http://t.co/6rxxc3LEzw"
el	Δρυος πεσσουσης, πας ανηρ ξηλευεται ..... \nΔιαβαστε σχολια για τον αγωνα και θα καταλαβετε τι εννοω ...\nΕλεος !!!!!"
es	No tengo nada contra él heavy metal, pero pienso qué esta sobrevalorado.. ritmicamente.. #music #fuckoff.. 🎸"
ps	د الجزايرۍ الوتکې ټوټې مالي کې وموندل شوې http://t.co/KK0WJy72X4"
tr	@hmmcokkomik Sen kes aptalllllllllllllll."
lo	ເບິ່ງແລ້ວ ມ່ວນໆ! http://t.co/8QvwfaE2yD"
ru	В Саратове сбили пешехода #Саратов\nhttp://t.co/cE9Dhj49EV http://t.co/OwxyuIKwBR"
ta	@raakkiganesh நம்பத்தகுந்த செய்தி தான்..திருப்பதியில் கல்யாணம் பண்ணிகிட்டாங்க"
no	Mann siktet for voldtekt i Stavanger http://t.co/tibrNLgN5X"
de	@LINKE_LTSachsen aber ihr seid doch Kommunisten?"
hi-Latn	Basanti: Bhaag Dhanno bhag, aaj Basanti k Tamatar ka sawal hai.\nDhanno: Tujhe Tomato ki padi hai. Mere Chane ka kya hoga?\n#TomatoKeSholay"
en	@GazaTVNews: Bolivia declares Israel a terrorist state http://t.co/Jr10YbfPv9"
pl	@hockeyrauhl jesteś sama z bratem?😦"
hy	News.am Անամոթի նման գողեգող եկավ ու գնաց. գյուղնախարարը չի այցելել Շիրակի՝ ամենից շատ տուժած համայնքներ http://t.co/beOWQzChGY"
sd	سنڌ جي بجيٽ http://t.co/0uKjrlXx67"
ar	راح رمضان وباقي الخير لازال\n      الفضل من ربي صنوفه مطله\n\nحبيت أذكركم على ست شوال\n   من صامها صومه عن الدهر كله .."
zh-TW	蔣潔敏進國資委是北京不想打草驚蛇: 蔣潔敏和他的中石油腐敗集團\n\n《政經》特約記者　莫潭\n\n調任國資委主任 滿信箱全舉報信\n\n調任國資委主任僅半年後，蔣潔敏便因涉嫌嚴重違紀而落馬，從而也把國資委推上風口浪尖。不過，國資委... http://t.co/jFOyZiBPuZ"
km	[ News ] -  មកយល់ដឹង! អត្ថប្រយោជន៍ ដ៏សម្បូរបែបទាំង ១០ របស់ ផ្លែមង្ឃុត សំរាប់សុខភាព Daily News, Health http://t.co/DZzwVIOKqn"
und	7,199"
und	20 #MTVHottest Iggy Azalea Rita Ora Ellie Goulding Shakira Lana Del Rey"
not_sl	na lja fazendo ronda na madrugada"
ko	ポッポ❤\"@BeautifulJyh: 또또키스ㅋㅋ\"@giho1003: 용화의 We love you♥!  오늘 하루도 좋은 하루가 될 것 같아^^ http://t.co/H4asUg58DT\"\""
hy	@Tihana27 @mgoongie  ասում եմ։ միանշանակ կա տենց բան 😊😊"
sv	@MFGill @ulfsandqvist nä, burning och mushi är typ bästa spelarna"
vi	Gửi hàng đi Cam Pu Chia chuyên nghiệp tại Tp HCM Hà Nội http://t.co/OIsVf8zbJu"
und	@flyingirishoran afern gshssgjsjahjsh"
ko	뭐요 이 기생콩벌레야ㅡㅡ"
hi	अगर खुदा नहीं हे तो उसका ज़िक्र क्यों ??\nऔर अगर खुदा हे तो फिर फिक्र क्यों ???"
hy	«Կանաչ մարդուկների» սադրանքը Հայաստանի ու Վրաստանի դեմ http://t.co/nTEkgeC2my"
pl	@biebeseIfie śmieszny, cycu na niego tez mówimy, nawet nauczyciele haha"
de	@n8gedanken Ich hatte gleich den Einduck,dass es eigentlich gar nicht darum ging. Das Mädchen hatte wohl Migrationshintergrund."
my	အၾကမ္းဖက္မႈ ႏွိမ္နင္းရာတြင္ သုံးမည့္ လက္နက္မ်ား မႏၲေလး ရဲတပ္ဖြဲ႔ထံ ေပးပို႔\nSunday, July 6, 2014... http://t.co/Zb0VbtwUzB"
my	DVB - ဟြန္းတီး အေလးျပဳ (ေျမာက္ဥကၠလာပ) 20141907 http://t.co/RDhSB9dMQg"
not_ht	✌️ out LA http://t.co/pDgkxtg26e"
pa	ਅਸੀ ਜਿਉਂਦੇ ਆਸਰੇ ਤੇਰੇ ਹਾਂ,,,,\nਨਾ ਤੇਰੇ ਬਿਨਾ ਗੁਜ਼ਾਰਾ ਏ....󾰟\n\nਛੱਡੀ ਨਾਂ ਛੱਡੀ ਨਾਂ ਸੱਜਣਾ, ਸਾਨੂੰ ਤੇਰਾ ਸਹਾਰਾ ਏ..... http://t.co/3BfLe6ROkL"
he	@talgilor ליאל, אני מבקש לא להדחף למינשונים.\nתודה."
not_und	🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪"
id	@dikabackkids dadi arek ojo mung mabuk wae ra mikir"
und	#kampanj #Deal Acer Aspire ATC-605-UB11 Intel Quad Core i5-4440 3.1GHz 1TB Windows 8.1 Desktop http://t.co/NVlT2jfFiL via @BlueWaterMarket"
si	ගුවන්තොටුපොළෙන් ගුවන්ගත කළ යානයක්... http://t.co/prGPQyNR9n"
und	@quickbooksin ans 4.Sri Aurobindo #happyCAday 10"
bn	খালেদাকে সাগরে সাঁতরে তালপট্টি খোঁজার পরামর্শ মন্ত্রিসভার - http://t.co/zBfdVFFIRs http://t.co/TNise3eWRQ"
cs	@SuriTheCat Obzvlaste na velmi mlade lidi pod metr? ;-)"
und	MUET (@ Universiti Sultan Zainal Abidin (UniSZA)) http://t.co/CZ5355mKoS"
ar	❞❀¸ التأني في كل شيء حسن إلا في ثلاث خصال : عند وقت الصلاة ، وعند دفن الميت ، والتوبة عند المعصية أبو بكر الواسطي*"
ps	او که زه خبر واي چې بيلتون دي\n\nما به جانان له لاس نيولي ګرځاوونه"
te	ముంబై: షిర్డీ సాయిబాబా సంస్థాన్ ఆధ్వర్యంలో నిర్వహిస్తున్న ఈ వేడుకల్లో భాగంగా శనివారం పలు పూజా కార్యక్రమాలు నిర్వహించారు."
zh-TW	@xuan_yeo 呵呵，要看我罵了什麼嗎?😏😏"
ta	மோடியுடன் சிங்கப்பூர் அமைச்சர் சந்திப்பு: ‘அனைவருக்கும் வீடு’ திட்டம் பற்றி ஆலோசனை #சிறுசா இருந்தாலும் ok கொஞ்சம் strong ஆ இருக்கட்டும்கோ.."
lv	Šomēnes bufetē uzstāsies Dj Markus Riva,Ai-va,Alex O, Pm2theAm un Dj Rudd. Gaidam ciemos Liepājas pludmalē!"
lo	ຄ້ານ Post ແລ້ວ!! ເມື່ອຍ...!!\nອີ່ຫຍັງກະໄດ້ ຕາມແຕ່ໃຈ...\nGermany 1:0 Argentina &gt;&lt;´´"
und	Ethyl get 1 3"
ru	Нашла того, кого любила❤️ http://t.co/ubEMmKPjEx"
it	@prfmike OVVIO... ODDIO POI SEMBRO PATTY"
hy	Վարչապետը ԵՏՄ-ին անդամակցելու նոր ժամկետ է հրապարակում (տեսանյութ) http://t.co/WbduGiAc6J"
not_und	@naisaluuis é?"
und	Free Gee 🔓🔑"
en	#5: Bonavita 1-Liter Variable Temperature Digital Electric Gooseneck Kettle: Bonavita 1-Liter Variable... http://t.co/ySy7sRkbzA"
es	Rachel McAdams todavía cree en el amor verdadero http://t.co/tn7HgP1FJs"
bn	‘এখন ফিরাবে তারে কীসের ছলে,\nবিদায় করেছ যারে নয়ন-জলে। –\nআজি মধু সমীরণে\nনিশীথে কুসুম-বনে,\nতারে কি পড়েছে মনে... http://t.co/TcGcVxoZqV"
vi	Tôi đã đăng tải ảnh mới lên Facebook http://t.co/CO8Cm24Tqs"
und	ziro #MTVHottest Iggy Azalea"
it	@nicole_gabri io sono un esperto..... vuoi una consulenza?"
hu	Harem Scarem - Pool Party szöveg és a fordítások http://t.co/5ur13VsroC"
not_ne	Sony max लगा डाला तो लाईफ सूर्यवंशम लाला"
no	Lindås - Status: Vassbygdvegen , ingen brann , tydelige skader etter lynnedslag. Litlevågsbrotet , brannen slukket ,  etterslukking."
not_fi	@maju_pie idiota"
my	အရင္ကဘာေတြရွုပ္ခဲ့လဲငါ့ဘက္ကစိတ္မ၀င္စားဘူး\nဘယ္သူနဲ့ဘယ္ကိုမသြားးရဘူးငါ့ဘက္ကပိတ္ပင္မထားဘူး။... http://t.co/6mJAjrpOD9"
tr	@rabiagarip69 o pahalı hediye yi her insan taşıyabilir mi?!"
not_fi	nossa"
pa	ੳੁਸ ਕੁੜੀ ਨਾਲ ਗੱਲ ਨਾ ਕਰੀਏ,ਜਿਹਨੂੰ ਆਪਣੇ ਤੇ\nਗਰੂਰ ਹੋਵੇ ,\nਕੁੜੀ ਪਿੱਛੇ ਕਦੀ ਯਾਰ ਨਾ ਛੱਡੀਏ,ਭਾਂਵੇ ਲੱਖ ਪਰੀਆਂ ਦੀ ਹੂਰ ਹੋਵੇ."
ta	Ennaku periya list irukku \"@itzNandhu: சிலரை பிடிக்காமல் போவதற்கு நமக்குப் பிடித்தவருக்குப்பிடித்தவர் என்ற காரணம் போதுமானதாகயிருக்கிறது...\""
ml	ആദായ നികുതി പരിധി 2.5 ലക്ഷം... http://t.co/q8EBimaENE"
pt	Bateu no meu portão com lágrimas no rosto, quase que eu sinto o gosto quando lembro dela assim."
